vol_iss_date, pdf_link, cover_loc, iss_loc
"Vol. 10, No. 20, September 29, 1973", https://www.marxists.org/history/usa/pubs/black-panther/10%20no%2019%201-19%20sep%2022%201973.pdf, ./periodicals/black-panther/bpp-covers/10%20no%2019%201-19%20sep%2022%201973_cover.pdf, ./periodicals/black-panther/bpp-issues/10%20no%2019%201-19%20sep%2022%201973.pdf
"Vol. 10, No. 22, October 13, 1973", https://www.marxists.org/history/usa/pubs/black-panther/10%20no%2020%201-19%20sep%2029%201973.pdf, ./periodicals/black-panther/bpp-covers/10%20no%2020%201-19%20sep%2029%201973_cover.pdf, ./periodicals/black-panther/bpp-issues/10%20no%2020%201-19%20sep%2029%201973.pdf
"Vol. 10, No. 23, October 20, 1973", https://www.marxists.org/history/usa/pubs/black-panther/10%20no%2022%201-20%20oct%2013%201973.pdf, ./periodicals/black-panther/bpp-covers/10%20no%2022%201-20%20oct%2013%201973_cover.pdf, ./periodicals/black-panther/bpp-issues/10%20no%2022%201-20%20oct%2013%201973.pdf
"Vol. 10, No. 24, October 27, 1973", https://www.marxists.org/history/usa/pubs/black-panther/10%20no%2023%201-19%20oct%2020%201973.pdf, ./periodicals/black-panther/bpp-covers/10%20no%2023%201-19%20oct%2020%201973_cover.pdf, ./periodicals/black-panther/bpp-issues/10%20no%2023%201-19%20oct%2020%201973.pdf
"Vol. 10, No. 25, November 3, 1973", https://www.marxists.org/history/usa/pubs/black-panther/10%20no%2024%201-20%20oct%2027%201973.pdf, ./periodicals/black-panther/bpp-covers/10%20no%2024%201-20%20oct%2027%201973_cover.pdf, ./periodicals/black-panther/bpp-issues/10%20no%2024%201-20%20oct%2027%201973.pdf
"Vol. 10, No. 26, November 10, 1973", https://www.marxists.org/history/usa/pubs/black-panther/10%20no%2025%201-20%20nov%203%201973.pdf, ./periodicals/black-panther/bpp-covers/10%20no%2025%201-20%20nov%203%201973_cover.pdf, ./periodicals/black-panther/bpp-issues/10%20no%2025%201-20%20nov%203%201973.pdf
"Vol. 10, No. 27, November 17, 1973", https://www.marxists.org/history/usa/pubs/black-panther/10%20no%2026%201-20%20nov%2010%201973.pdf, ./periodicals/black-panther/bpp-covers/10%20no%2026%201-20%20nov%2010%201973_cover.pdf, ./periodicals/black-panther/bpp-issues/10%20no%2026%201-20%20nov%2010%201973.pdf
"Vol. 10, No. 28, November 24, 1973", https://www.marxists.org/history/usa/pubs/black-panther/10%20no%2027%201-20%20nov%2017%201973.pdf, ./periodicals/black-panther/bpp-covers/10%20no%2027%201-20%20nov%2017%201973_cover.pdf, ./periodicals/black-panther/bpp-issues/10%20no%2027%201-20%20nov%2017%201973.pdf
"Vol. 10, No. 30, December 8, 1973", https://www.marxists.org/history/usa/pubs/black-panther/10%20no%2028%201-20%20nov%2024%201973.pdf, ./periodicals/black-panther/bpp-covers/10%20no%2028%201-20%20nov%2024%201973_cover.pdf, ./periodicals/black-panther/bpp-issues/10%20no%2028%201-20%20nov%2024%201973.pdf
"Vol. 11, No. 2, January 5, 1974", https://www.marxists.org/history/usa/pubs/black-panther/10%20no%2030%201-20%20dec%208%201973.pdf, ./periodicals/black-panther/bpp-covers/10%20no%2030%201-20%20dec%208%201973_cover.pdf, ./periodicals/black-panther/bpp-issues/10%20no%2030%201-20%20dec%208%201973.pdf
"Vol. 11, No. 3, January 12, 1974", https://www.marxists.org/history/usa/pubs/black-panther/11%20no%202%201-24%20jan%205%201974.pdf, ./periodicals/black-panther/bpp-covers/11%20no%202%201-24%20jan%205%201974_cover.pdf, ./periodicals/black-panther/bpp-issues/11%20no%202%201-24%20jan%205%201974.pdf
